PROCESS	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
cell wall organization (GO:0071555)	229	12	7.94	+	1.51	1.38E-01	9.57E-01
external encapsulating structure organization (GO:0045229)	229	12	7.94	+	1.51	1.38E-01	9.56E-01
negative regulation of RNA biosynthetic process (GO:1902679)	172	9	5.96	+	1.51	2.00E-01	1.00E+00
alpha-amino acid metabolic process (GO:1901605)	172	9	5.96	+	1.51	2.00E-01	1.00E+00
negative regulation of DNA-templated transcription (GO:0045892)	172	9	5.96	+	1.51	2.00E-01	1.00E+00
cytoskeleton organization (GO:0007010)	230	12	7.97	+	1.51	1.40E-01	9.51E-01
regulation of small molecule metabolic process (GO:0062012)	77	4	2.67	+	1.5	3.42E-01	1.00E+00
pyridine nucleotide metabolic process (GO:0019362)	77	4	2.67	+	1.5	3.42E-01	1.00E+00
cellular component assembly (GO:0022607)	714	37	24.74	+	1.5	1.17E-02	5.01E-01
monoatomic cation transmembrane transport (GO:0098655)	174	9	6.03	+	1.49	2.04E-01	1.00E+00
fungal-type cell wall organization (GO:0031505)	174	9	6.03	+	1.49	2.04E-01	1.00E+00
biological regulation (GO:0065007)	1695	87	58.74	+	1.48	2.09E-05	1.41E-02
polyol metabolic process (GO:0019751)	39	2	1.35	+	1.48	3.94E-01	1.00E+00
regulation of developmental process (GO:0050793)	39	2	1.35	+	1.48	3.94E-01	1.00E+00
catabolic process (GO:0009056)	881	45	30.53	+	1.47	6.80E-03	4.27E-01
cellular component organization (GO:0016043)	1867	95	64.7	+	1.47	8.74E-06	1.03E-02
RNA 5'-end processing (GO:0000966)	59	3	2.04	+	1.47	4.59E-01	1.00E+00
regulation of mRNA stability (GO:0043488)	59	3	2.04	+	1.47	4.59E-01	1.00E+00
process utilizing autophagic mechanism (GO:0061919)	197	10	6.83	+	1.46	2.29E-01	1.00E+00
regulation of cell cycle phase transition (GO:1901987)	158	8	5.48	+	1.46	2.65E-01	1.00E+00
regulation of biological process (GO:0050789)	1586	80	54.96	+	1.46	1.16E-04	3.40E-02
cellular response to chemical stimulus (GO:0070887)	339	17	11.75	+	1.45	1.24E-01	9.60E-01
peptidyl-amino acid modification (GO:0018193)	100	5	3.47	+	1.44	3.98E-01	1.00E+00
endoplasmic reticulum unfolded protein response (GO:0030968)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
regulation of supramolecular fiber organization (GO:1902903)	60	3	2.08	+	1.44	4.64E-01	1.00E+00
glucosamine-containing compound biosynthetic process (GO:1901073)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
regulation of macroautophagy (GO:0016241)	40	2	1.39	+	1.44	6.49E-01	1.00E+00
tRNA export from nucleus (GO:0006409)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
regulation of nucleocytoplasmic transport (GO:0046822)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
nucleosome disassembly (GO:0006337)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
carbohydrate biosynthetic process (GO:0016051)	60	3	2.08	+	1.44	4.64E-01	1.00E+00
chitin biosynthetic process (GO:0006031)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
aminoglycan biosynthetic process (GO:0006023)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
cellular component disassembly (GO:0022411)	160	8	5.54	+	1.44	2.69E-01	1.00E+00
positive regulation of mitotic cell cycle (GO:0045931)	40	2	1.39	+	1.44	6.49E-01	1.00E+00
establishment of chromosome localization (GO:0051303)	40	2	1.39	+	1.44	6.49E-01	1.00E+00
septin cytoskeleton organization (GO:0032185)	40	2	1.39	+	1.44	6.49E-01	1.00E+00
protein polymerization (GO:0051258)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
inorganic anion transmembrane transport (GO:0098661)	20	1	0.69	+	1.44	5.07E-01	1.00E+00
regulation of primary metabolic process (GO:0080090)	940	47	32.57	+	1.44	8.46E-03	4.53E-01
regulation of RNA stability (GO:0043487)	60	3	2.08	+	1.44	4.64E-01	1.00E+00
regulation of cellular process (GO:0050794)	1522	76	52.74	+	1.44	3.37E-04	7.94E-02
nucleobase-containing compound transport (GO:0015931)	162	8	5.61	+	1.43	2.74E-01	1.00E+00
RNA 3'-end processing (GO:0031123)	61	3	2.11	+	1.42	4.70E-01	1.00E+00
purine ribonucleotide biosynthetic process (GO:0009152)	61	3	2.11	+	1.42	4.70E-01	1.00E+00
organic hydroxy compound metabolic process (GO:1901615)	163	8	5.65	+	1.42	2.77E-01	1.00E+00
DNA damage response (GO:0006974)	348	17	12.06	+	1.41	1.32E-01	9.19E-01
cellular aldehyde metabolic process (GO:0006081)	41	2	1.42	+	1.41	6.53E-01	1.00E+00
vesicle fusion (GO:0006906)	41	2	1.42	+	1.41	6.53E-01	1.00E+00
establishment or maintenance of cell polarity (GO:0007163)	103	5	3.57	+	1.4	4.08E-01	1.00E+00
organelle organization (GO:0006996)	1175	57	40.72	+	1.4	5.68E-03	3.83E-01
regulation of macromolecule metabolic process (GO:0060255)	1012	49	35.07	+	1.4	1.09E-02	5.19E-01
cellular response to starvation (GO:0009267)	124	6	4.3	+	1.4	3.26E-01	1.00E+00
establishment of protein localization to vacuole (GO:0072666)	124	6	4.3	+	1.4	3.26E-01	1.00E+00
cellular component organization or biogenesis (GO:0071840)	2133	103	73.92	+	1.39	3.40E-05	2.00E-02
proteinogenic amino acid metabolic process (GO:0170039)	145	7	5.02	+	1.39	3.52E-01	1.00E+00
lipid localization (GO:0010876)	83	4	2.88	+	1.39	5.35E-01	1.00E+00
positive regulation of gene expression (GO:0010628)	83	4	2.88	+	1.39	5.35E-01	1.00E+00
chromosome organization (GO:0051276)	332	16	11.5	+	1.39	1.64E-01	1.00E+00
ribosomal large subunit biogenesis (GO:0042273)	125	6	4.33	+	1.39	4.51E-01	1.00E+00
inorganic ion transmembrane transport (GO:0098660)	188	9	6.51	+	1.38	3.07E-01	1.00E+00
autophagy (GO:0006914)	188	9	6.51	+	1.38	3.07E-01	1.00E+00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	690	33	23.91	+	1.38	5.90E-02	8.53E-01
positive regulation of cellular process (GO:0048522)	629	30	21.8	+	1.38	6.50E-02	8.75E-01
small molecule metabolic process (GO:0044281)	692	33	23.98	+	1.38	5.94E-02	8.55E-01
small GTPase-mediated signal transduction (GO:0007264)	42	2	1.46	+	1.37	6.57E-01	1.00E+00
protein-DNA complex disassembly (GO:0032986)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
fatty acid metabolic process (GO:0006631)	63	3	2.18	+	1.37	4.81E-01	1.00E+00
response to pH (GO:0009268)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
protein O-linked glycosylation (GO:0006493)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
piecemeal microautophagy of the nucleus (GO:0034727)	42	2	1.46	+	1.37	6.57E-01	1.00E+00
glucose transmembrane transport (GO:1904659)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
chromosome condensation (GO:0030261)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
regulation of protein localization to nucleus (GO:1900180)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
regulation of anatomical structure morphogenesis (GO:0022603)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
regulation of chromatin organization (GO:1902275)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
negative regulation of autophagy (GO:0010507)	21	1	0.73	+	1.37	5.24E-01	1.00E+00
RNA splicing (GO:0008380)	147	7	5.09	+	1.37	3.57E-01	1.00E+00
regulation of metabolic process (GO:0019222)	1096	52	37.98	+	1.37	1.35E-02	5.39E-01
regulation of protein metabolic process (GO:0051246)	232	11	8.04	+	1.37	2.70E-01	1.00E+00
establishment of localization (GO:0051234)	1394	66	48.31	+	1.37	4.42E-03	3.36E-01
cellular component biogenesis (GO:0044085)	1035	49	35.87	+	1.37	1.92E-02	5.91E-01
transport (GO:0006810)	1289	61	44.67	+	1.37	7.56E-03	4.29E-01
L-amino acid metabolic process (GO:0170033)	148	7	5.13	+	1.36	3.60E-01	1.00E+00
negative regulation of cellular process (GO:0048523)	677	32	23.46	+	1.36	7.32E-02	8.12E-01
proton transmembrane transport (GO:1902600)	106	5	3.67	+	1.36	4.18E-01	1.00E+00
meiosis I (GO:0007127)	85	4	2.95	+	1.36	5.40E-01	1.00E+00
response to starvation (GO:0042594)	128	6	4.44	+	1.35	4.56E-01	1.00E+00
cellular response to heat (GO:0034605)	64	3	2.22	+	1.35	4.87E-01	1.00E+00
inorganic cation transmembrane transport (GO:0098662)	171	8	5.93	+	1.35	3.90E-01	1.00E+00
negative regulation of biological process (GO:0048519)	708	33	24.53	+	1.35	7.90E-02	8.44E-01
regulation of sister chromatid segregation (GO:0033045)	43	2	1.49	+	1.34	6.61E-01	1.00E+00
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)"	43	2	1.49	+	1.34	6.61E-01	1.00E+00
amino acid metabolic process (GO:0006520)	237	11	8.21	+	1.34	2.79E-01	1.00E+00
regulation of RNA metabolic process (GO:0051252)	606	28	21	+	1.33	1.02E-01	8.60E-01
establishment of localization in cell (GO:0051649)	693	32	24.01	+	1.33	9.66E-02	9.38E-01
protein import into nucleus (GO:0006606)	65	3	2.25	+	1.33	4.93E-01	1.00E+00
positive regulation of cellular component biogenesis (GO:0044089)	65	3	2.25	+	1.33	4.93E-01	1.00E+00
regulation of cellular metabolic process (GO:0031323)	998	46	34.58	+	1.33	3.68E-02	6.30E-01
positive regulation of biological process (GO:0048518)	720	33	24.95	+	1.32	8.28E-02	8.66E-01
localization (GO:0051179)	1557	71	53.96	+	1.32	7.84E-03	4.30E-01
DNA metabolic process (GO:0006259)	505	23	17.5	+	1.31	1.62E-01	1.00E+00
lipid catabolic process (GO:0016042)	66	3	2.29	+	1.31	4.99E-01	1.00E+00
protein localization to Golgi apparatus (GO:0034067)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
ascospore-type prospore assembly (GO:0031321)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
regulation of transcription initiation by RNA polymerase II (GO:0060260)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	44	2	1.52	+	1.31	6.65E-01	1.00E+00
mitotic spindle assembly checkpoint signaling (GO:0007094)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
microtubule-based movement (GO:0007018)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
negative regulation of mitotic sister chromatid separation (GO:2000816)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
purine nucleoside monophosphate biosynthetic process (GO:0009127)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
mannosylation (GO:0097502)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
negative regulation of sister chromatid segregation (GO:0033046)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
organelle localization by membrane tethering (GO:0140056)	44	2	1.52	+	1.31	6.65E-01	1.00E+00
karyogamy (GO:0000741)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
vesicle-mediated transport to the plasma membrane (GO:0098876)	44	2	1.52	+	1.31	6.65E-01	1.00E+00
membrane docking (GO:0022406)	44	2	1.52	+	1.31	6.65E-01	1.00E+00
amino sugar biosynthetic process (GO:0046349)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
negative regulation of mitotic nuclear division (GO:0045839)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	22	1	0.76	+	1.31	5.40E-01	1.00E+00
DNA-templated transcription (GO:0006351)	243	11	8.42	+	1.31	3.67E-01	1.00E+00
intracellular transport (GO:0046907)	626	28	21.69	+	1.29	1.65E-01	1.00E+00
chromatin organization (GO:0006325)	313	14	10.85	+	1.29	3.38E-01	1.00E+00
post-transcriptional regulation of gene expression (GO:0010608)	179	8	6.2	+	1.29	4.06E-01	1.00E+00
cellular localization (GO:0051641)	1033	46	35.8	+	1.29	6.16E-02	8.59E-01
carboxylic acid transmembrane transport (GO:1905039)	45	2	1.56	+	1.28	6.69E-01	1.00E+00
mRNA destabilization (GO:0061157)	45	2	1.56	+	1.28	6.69E-01	1.00E+00
RNA destabilization (GO:0050779)	45	2	1.56	+	1.28	6.69E-01	1.00E+00
autophagy of mitochondrion (GO:0000422)	45	2	1.56	+	1.28	6.69E-01	1.00E+00
protein localization to vacuole (GO:0072665)	135	6	4.68	+	1.28	4.73E-01	1.00E+00
regulation of macromolecule biosynthetic process (GO:0010556)	878	39	30.43	+	1.28	9.00E-02	9.10E-01
regulation of cellular biosynthetic process (GO:0031326)	901	40	31.22	+	1.28	9.27E-02	9.29E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	113	5	3.92	+	1.28	5.97E-01	1.00E+00
positive regulation of transcription by RNA polymerase II (GO:0045944)	295	13	10.22	+	1.27	3.29E-01	1.00E+00
organelle disassembly (GO:1903008)	91	4	3.15	+	1.27	5.58E-01	1.00E+00
pyridine-containing compound metabolic process (GO:0072524)	91	4	3.15	+	1.27	5.58E-01	1.00E+00
regulation of biosynthetic process (GO:0009889)	912	40	31.6	+	1.27	1.15E-01	9.27E-01
positive regulation of RNA metabolic process (GO:0051254)	388	17	13.45	+	1.26	3.13E-01	1.00E+00
negative regulation of cellular catabolic process (GO:0031330)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
nuclear migration (GO:0007097)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
negative regulation of chromosome segregation (GO:0051985)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
L-amino acid transport (GO:0015807)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
protein methylation (GO:0006479)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
serine family amino acid biosynthetic process (GO:0009070)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
tRNA methylation (GO:0030488)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
nucleus localization (GO:0051647)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
spindle assembly checkpoint signaling (GO:0071173)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
protein-containing complex organization (GO:0043933)	805	35	27.9	+	1.25	1.47E-01	9.84E-01
actin cortical patch organization (GO:0044396)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
organelle membrane fusion (GO:0090174)	46	2	1.59	+	1.25	6.73E-01	1.00E+00
protein alkylation (GO:0008213)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
positive regulation of reproductive process (GO:2000243)	46	2	1.59	+	1.25	6.73E-01	1.00E+00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
regulation of DNA-templated transcription initiation (GO:2000142)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
positive regulation of protein metabolic process (GO:0051247)	92	4	3.19	+	1.25	5.61E-01	1.00E+00
response to salt stress (GO:0009651)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
negative regulation of chromosome separation (GO:1905819)	23	1	0.8	+	1.25	5.56E-01	1.00E+00
purine nucleotide metabolic process (GO:0006163)	162	7	5.61	+	1.25	5.10E-01	1.00E+00
cellular lipid metabolic process (GO:0044255)	302	13	10.47	+	1.24	4.17E-01	1.00E+00
nitrogen compound transport (GO:0071705)	744	32	25.78	+	1.24	1.98E-01	1.00E+00
amide metabolic process (GO:0043603)	93	4	3.22	+	1.24	5.65E-01	1.00E+00
RNA biosynthetic process (GO:0032774)	791	34	27.41	+	1.24	1.75E-01	1.00E+00
regulation of cellular component biogenesis (GO:0044087)	163	7	5.65	+	1.24	5.12E-01	1.00E+00
regulation of cellular catabolic process (GO:0031329)	70	3	2.43	+	1.24	7.35E-01	1.00E+00
regulation of chromosome organization (GO:0033044)	70	3	2.43	+	1.24	7.35E-01	1.00E+00
lipid metabolic process (GO:0006629)	328	14	11.37	+	1.23	4.35E-01	1.00E+00
regulation of transcription by RNA polymerase II (GO:0006357)	469	20	16.25	+	1.23	3.56E-01	1.00E+00
organic acid transmembrane transport (GO:1903825)	47	2	1.63	+	1.23	6.78E-01	1.00E+00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	47	2	1.63	+	1.23	6.78E-01	1.00E+00
regulation of gene expression (GO:0010468)	848	36	29.39	+	1.23	1.88E-01	1.00E+00
nucleotide biosynthetic process (GO:0009165)	118	5	4.09	+	1.22	6.06E-01	1.00E+00
mRNA catabolic process (GO:0006402)	118	5	4.09	+	1.22	6.06E-01	1.00E+00
ribonucleoprotein complex biogenesis (GO:0022613)	472	20	16.36	+	1.22	3.57E-01	1.00E+00
primary metabolic process (GO:0044238)	3045	129	105.52	+	1.22	1.19E-03	1.47E-01
rRNA processing (GO:0006364)	284	12	9.84	+	1.22	5.03E-01	1.00E+00
alcohol biosynthetic process (GO:0046165)	71	3	2.46	+	1.22	7.37E-01	1.00E+00
microtubule-based process (GO:0007017)	95	4	3.29	+	1.22	5.72E-01	1.00E+00
vesicle-mediated transport (GO:0016192)	428	18	14.83	+	1.21	4.09E-01	1.00E+00
ADP catabolic process (GO:0046032)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
Golgi to endosome transport (GO:0006895)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
response to metal ion (GO:0010038)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
nucleoside phosphate biosynthetic process (GO:1901293)	120	5	4.16	+	1.2	6.11E-01	1.00E+00
nucleophagy (GO:0044804)	48	2	1.66	+	1.2	6.83E-01	1.00E+00
purine ribonucleoside diphosphate catabolic process (GO:0009181)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
purine nucleoside diphosphate catabolic process (GO:0009137)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
hexose transmembrane transport (GO:0008645)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
positive regulation of filamentous growth of a population of unicellular organisms (GO:1900430)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
monosaccharide transmembrane transport (GO:0015749)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
aspartate family amino acid biosynthetic process (GO:0009067)	48	2	1.66	+	1.2	6.83E-01	1.00E+00
glycolytic process (GO:0006096)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
regulation of microtubule cytoskeleton organization (GO:0070507)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
negative regulation of exit from mitosis (GO:0001100)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
sulfur compound transport (GO:0072348)	24	1	0.83	+	1.2	5.72E-01	1.00E+00
negative regulation of metabolic process (GO:0009892)	506	21	17.53	+	1.2	3.73E-01	1.00E+00
macroautophagy (GO:0016236)	145	6	5.02	+	1.19	6.42E-01	1.00E+00
metabolic process (GO:0008152)	3437	142	119.1	+	1.19	1.09E-03	1.47E-01
lipid biosynthetic process (GO:0008610)	194	8	6.72	+	1.19	5.49E-01	1.00E+00
positive regulation of RNA biosynthetic process (GO:1902680)	340	14	11.78	+	1.19	4.47E-01	1.00E+00
positive regulation of DNA-templated transcription (GO:0045893)	340	14	11.78	+	1.19	4.47E-01	1.00E+00
negative regulation of transcription by RNA polymerase II (GO:0000122)	146	6	5.06	+	1.19	6.43E-01	1.00E+00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	414	17	14.35	+	1.18	4.85E-01	1.00E+00
mRNA metabolic process (GO:0016071)	317	13	10.99	+	1.18	5.26E-01	1.00E+00
regulation of RNA biosynthetic process (GO:2001141)	538	22	18.64	+	1.18	3.88E-01	1.00E+00
regulation of DNA-templated transcription (GO:0006355)	538	22	18.64	+	1.18	3.88E-01	1.00E+00
transcription initiation at RNA polymerase II promoter (GO:0006367)	49	2	1.7	+	1.18	6.87E-01	1.00E+00
DNA integrity checkpoint signaling (GO:0031570)	49	2	1.7	+	1.18	6.87E-01	1.00E+00
macromolecule metabolic process (GO:0043170)	2402	98	83.24	+	1.18	3.72E-02	6.36E-01
chromatin remodeling (GO:0006338)	247	10	8.56	+	1.17	5.92E-01	1.00E+00
transmembrane transport (GO:0055085)	470	19	16.29	+	1.17	4.33E-01	1.00E+00
nucleus organization (GO:0006997)	99	4	3.43	+	1.17	7.78E-01	1.00E+00
RNA catabolic process (GO:0006401)	149	6	5.16	+	1.16	6.48E-01	1.00E+00
RNA metabolic process (GO:0016070)	919	37	31.85	+	1.16	3.27E-01	1.00E+00
cellular process (GO:0009987)	4873	196	168.87	+	1.16	1.22E-07	5.75E-04
positive regulation of macromolecule metabolic process (GO:0010604)	498	20	17.26	+	1.16	4.44E-01	1.00E+00
ribonucleoside diphosphate catabolic process (GO:0009191)	25	1	0.87	+	1.15	5.87E-01	1.00E+00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	25	1	0.87	+	1.15	5.87E-01	1.00E+00
purine nucleoside monophosphate metabolic process (GO:0009126)	25	1	0.87	+	1.15	5.87E-01	1.00E+00
branched-chain amino acid metabolic process (GO:0009081)	25	1	0.87	+	1.15	5.87E-01	1.00E+00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	50	2	1.73	+	1.15	6.92E-01	1.00E+00
cellular response to acid chemical (GO:0071229)	25	1	0.87	+	1.15	5.87E-01	1.00E+00
glycerolipid metabolic process (GO:0046486)	125	5	4.33	+	1.15	6.23E-01	1.00E+00
positive regulation of filamentous growth (GO:0090033)	25	1	0.87	+	1.15	5.87E-01	1.00E+00
positive regulation of mRNA catabolic process (GO:0061014)	50	2	1.73	+	1.15	6.92E-01	1.00E+00
purine-containing compound metabolic process (GO:0072521)	175	7	6.06	+	1.15	6.72E-01	1.00E+00
tRNA transport (GO:0051031)	25	1	0.87	+	1.15	5.87E-01	1.00E+00
RNA export from nucleus (GO:0006405)	75	3	2.6	+	1.15	7.45E-01	1.00E+00
protein localization to nucleus (GO:0034504)	75	3	2.6	+	1.15	7.45E-01	1.00E+00
cellular response to chemical stress (GO:0062197)	151	6	5.23	+	1.15	6.51E-01	1.00E+00
nucleic acid biosynthetic process (GO:0141187)	882	35	30.56	+	1.15	3.70E-01	1.00E+00
RNA processing (GO:0006396)	580	23	20.1	+	1.14	4.74E-01	1.00E+00
positive regulation of catabolic process (GO:0009896)	101	4	3.5	+	1.14	7.80E-01	1.00E+00
nucleic acid metabolic process (GO:0090304)	1314	52	45.53	+	1.14	2.68E-01	1.00E+00
nucleobase-containing compound biosynthetic process (GO:0034654)	1012	40	35.07	+	1.14	3.47E-01	1.00E+00
ribonucleotide biosynthetic process (GO:0009260)	76	3	2.63	+	1.14	7.47E-01	1.00E+00
protein metabolic process (GO:0019538)	1249	49	43.28	+	1.13	3.39E-01	1.00E+00
Golgi vesicle transport (GO:0048193)	204	8	7.07	+	1.13	6.95E-01	1.00E+00
positive regulation of macromolecule biosynthetic process (GO:0010557)	408	16	14.14	+	1.13	5.75E-01	1.00E+00
nucleic acid catabolic process (GO:0141188)	153	6	5.3	+	1.13	6.55E-01	1.00E+00
cellular metabolic process (GO:0044237)	2683	105	92.98	+	1.13	9.02E-02	9.10E-01
protein-DNA complex organization (GO:0071824)	384	15	13.31	+	1.13	5.66E-01	1.00E+00
response to heat (GO:0009408)	77	3	2.67	+	1.12	7.50E-01	1.00E+00
cellular response to nutrient levels (GO:0031669)	180	7	6.24	+	1.12	6.78E-01	1.00E+00
negative regulation of macromolecule metabolic process (GO:0010605)	463	18	16.04	+	1.12	5.96E-01	1.00E+00
meiosis I cell cycle process (GO:0061982)	103	4	3.57	+	1.12	7.82E-01	1.00E+00
negative regulation of cellular metabolic process (GO:0031324)	464	18	16.08	+	1.12	5.97E-01	1.00E+00
nucleobase-containing compound metabolic process (GO:0006139)	1551	60	53.75	+	1.12	3.34E-01	1.00E+00
ADP metabolic process (GO:0046031)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
mRNA 3'-end processing (GO:0031124)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
regulation of microtubule-based process (GO:0032886)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
nucleoside diphosphate catabolic process (GO:0009134)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
"positive regulation of DNA-templated transcription, elongation (GO:0032786)"	52	2	1.8	+	1.11	7.01E-01	1.00E+00
protein N-linked glycosylation (GO:0006487)	52	2	1.8	+	1.11	7.01E-01	1.00E+00
cellular modified amino acid biosynthetic process (GO:0042398)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
rRNA catabolic process (GO:0016075)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
mitochondrial RNA processing (GO:0000963)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
carbon catabolite activation of transcription (GO:0045991)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
regulation of catalytic activity (GO:0050790)	52	2	1.8	+	1.11	7.01E-01	1.00E+00
maintenance of DNA repeat elements (GO:0043570)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
pyridine nucleotide catabolic process (GO:0019364)	26	1	0.9	+	1.11	6.01E-01	1.00E+00
positive regulation of cellular biosynthetic process (GO:0031328)	419	16	14.52	+	1.1	6.77E-01	1.00E+00
protein-containing complex assembly (GO:0065003)	472	18	16.36	+	1.1	6.02E-01	1.00E+00
purine ribonucleotide metabolic process (GO:0009150)	105	4	3.64	+	1.1	7.85E-01	1.00E+00
regulation of molecular function (GO:0065009)	79	3	2.74	+	1.1	7.54E-01	1.00E+00
response to temperature stimulus (GO:0009266)	79	3	2.74	+	1.1	7.54E-01	1.00E+00
ribosome biogenesis (GO:0042254)	396	15	13.72	+	1.09	6.70E-01	1.00E+00
regulation of chromosome segregation (GO:0051983)	53	2	1.84	+	1.09	7.06E-01	1.00E+00
positive regulation of biosynthetic process (GO:0009891)	424	16	14.69	+	1.09	6.80E-01	1.00E+00
cellular response to nutrient (GO:0031670)	53	2	1.84	+	1.09	7.06E-01	1.00E+00
response to nutrient (GO:0007584)	53	2	1.84	+	1.09	7.06E-01	1.00E+00
establishment of protein localization to organelle (GO:0072594)	345	13	11.96	+	1.09	7.61E-01	1.00E+00
organonitrogen compound metabolic process (GO:1901564)	1784	67	61.82	+	1.08	4.41E-01	1.00E+00
tRNA modification (GO:0006400)	80	3	2.77	+	1.08	7.57E-01	1.00E+00
regulation of translation (GO:0006417)	134	5	4.64	+	1.08	8.09E-01	1.00E+00
mRNA processing (GO:0006397)	215	8	7.45	+	1.07	8.48E-01	1.00E+00
positive regulation of metabolic process (GO:0009893)	538	20	18.64	+	1.07	7.11E-01	1.00E+00
positive regulation of cellular metabolic process (GO:0031325)	458	17	15.87	+	1.07	6.92E-01	1.00E+00
purine ribonucleoside diphosphate metabolic process (GO:0009179)	27	1	0.94	+	1.07	6.15E-01	1.00E+00
purine nucleoside diphosphate metabolic process (GO:0009135)	27	1	0.94	+	1.07	6.15E-01	1.00E+00
negative regulation of phosphate metabolic process (GO:0045936)	27	1	0.94	+	1.07	6.15E-01	1.00E+00
positive regulation of growth (GO:0045927)	27	1	0.94	+	1.07	6.15E-01	1.00E+00
negative regulation of cellular biosynthetic process (GO:0031327)	433	16	15	+	1.07	7.84E-01	1.00E+00
negative regulation of biosynthetic process (GO:0009890)	436	16	15.11	+	1.06	7.85E-01	1.00E+00
