"","GENE","COMPONENT_DESC"
"828","RSC1","nucleus"
"829","RSC1","RSC-type complex"
"830","PFK26","cytoplasm"
"831","PFK26","cytosol"
"832","RPS2","nucleus"
"833","RPS2","nucleoplasm"
"834","RPS2","nucleolus"
"835","RPS2","small-subunit processome"
"836","DNF1","mitochondrion"
"837","DNF1","endosome"
"838","DNF1","endoplasmic reticulum"
"839","DNF1","Golgi apparatus"
"840","DNF1","plasma membrane"
"841","DNF1","cellular bud"
"842","DNF1","cellular bud neck"
"843","DNF1","endosome membrane"
"844","DNF1","membrane"
"845","DNF1","cell septum"
"846","DNF1","mating projection tip membrane"
"847","DNF1","cell periphery"
"848","DNF1","phospholipid-translocating ATPase complex"
"849","RAD16","nucleotide-excision repair factor 4 complex"
"850","RAD16","nucleus"
"851","RAD16","Cul3-RING ubiquitin ligase complex"
"852","SNF7","ESCRT III complex"
"853","SNF7","nucleus"
"854","SNF7","nuclear envelope"
"855","SNF7","cytoplasm"
"856","SNF7","endosome"
"857","SNF7","multivesicular body"
"858","SNF7","plasma membrane"
"859","SNF7","cytoplasmic side of plasma membrane"
"860","SNF7","endosome membrane"
"861","SNF7","endomembrane system"
"862","SNF7","membrane"
"863","SNF7","intracellular membrane-bounded organelle"
"864","GRR1","cellular bud neck contractile ring"
"865","GRR1","nucleus"
"866","GRR1","cytoplasm"
"867","GRR1","membrane"
"868","GRR1","SCF ubiquitin ligase complex"
"869","MDL2","mitochondrion"
"870","MDL2","mitochondrial inner membrane"
"871","MDL2","membrane"
"872","RMP1","ribonuclease MRP complex"
"873","RMP1","nucleus"
"874","RMP1","nucleolus"
"875","RMP1","cytoplasm"
"876","RMP1","membrane"
"877","UBX7","nuclear envelope"
"878","UBX7","endoplasmic reticulum"
"879","NSR1","nucleus"
"880","NSR1","nuclear envelope"
"881","NSR1","nucleolus"
"882","NSR1","mitochondrion"
"883","BNI4","site of polarized growth"
"884","VRP1","site of polarized growth"
"885","HSL1","site of polarized growth"
"886","ACT1","site of polarized growth"
"887","MYO2","site of polarized growth"
"888","PBS2","site of polarized growth"
"889","CYK3","site of polarized growth"
"890","BNI1","site of polarized growth"
"891","SSK2","site of polarized growth"
"892","STE5","site of polarized growth"
"893","UBP5","site of polarized growth"
"894","TUS1","site of polarized growth"
"895","ABP140","site of polarized growth"
"896","CCW12","site of polarized growth"
"897","DSE4","site of polarized growth"
"898","RHO1","site of polarized growth"
"899","DBF20","site of polarized growth"
"900","DNF1","site of polarized growth"
"901","GRR1","site of polarized growth"
"902","BNI4","plasma membrane"
"903","UTH1","plasma membrane"
"904","VRP1","plasma membrane"
"905","HSL1","plasma membrane"
"906","ACT1","plasma membrane"
"907","VTC1","plasma membrane"
"908","CYK3","plasma membrane"
"909","SSK2","plasma membrane"
"910","VTC4","plasma membrane"
"911","CCW12","plasma membrane"
"912","DSE4","plasma membrane"
"913","ABP1","plasma membrane"
"914","CHC1","plasma membrane"
"915","GRR1","plasma membrane"
"916","BNI4","fungal-type vacuole membrane"
"917","PHO84","fungal-type vacuole membrane"
"918","RIM21","fungal-type vacuole membrane"
"919","UTH1","fungal-type vacuole membrane"
"920","AGP1","fungal-type vacuole membrane"
"921","PKC1","fungal-type vacuole membrane"
"922","VRP1","fungal-type vacuole membrane"
"923","TRK2","fungal-type vacuole membrane"
"924","HSL1","fungal-type vacuole membrane"
"925","ACT1","fungal-type vacuole membrane"
"926","PDR10","fungal-type vacuole membrane"
"927","YOR1","fungal-type vacuole membrane"
"928","HXT13","fungal-type vacuole membrane"
"929","SMF1","fungal-type vacuole membrane"
"930","HBT1","fungal-type vacuole membrane"
"931","CDC25","fungal-type vacuole membrane"
"932","CYK3","fungal-type vacuole membrane"
"933","PMA1","fungal-type vacuole membrane"
"934","BNI1","fungal-type vacuole membrane"
"935","SSK2","fungal-type vacuole membrane"
"936","STE5","fungal-type vacuole membrane"
"937","YCT1","fungal-type vacuole membrane"
"938","PHM7","fungal-type vacuole membrane"
"939","PTK2","fungal-type vacuole membrane"
"940","FET4","fungal-type vacuole membrane"
"941","SPO20","fungal-type vacuole membrane"
"942","GPB1","fungal-type vacuole membrane"
"943","FKS3","fungal-type vacuole membrane"
"944","PLB2","fungal-type vacuole membrane"
"945","CCW12","fungal-type vacuole membrane"
"946","DSE4","fungal-type vacuole membrane"
"947","GPB2","fungal-type vacuole membrane"
"948","KIN82","fungal-type vacuole membrane"
"949","ABP1","fungal-type vacuole membrane"
"950","CHC1","fungal-type vacuole membrane"
"951","EFR3","fungal-type vacuole membrane"
"952","KIN1","fungal-type vacuole membrane"
"953","IST2","fungal-type vacuole membrane"
"954","DNF1","fungal-type vacuole membrane"
"955","SNF7","fungal-type vacuole membrane"
"956","GRR1","fungal-type vacuole membrane"
"957","ACT1","cellular bud neck"
"958","STE5","cellular bud neck"
"959","ABP140","cellular bud neck"
"960","CCW12","cellular bud neck"
"961","ABP1","cellular bud neck"
"962","GRR1","cellular bud neck"
"963","BNI4","cell periphery"
"964","PHO84","cell periphery"
"965","RIM21","cell periphery"
"966","UTH1","cell periphery"
"967","AGP1","cell periphery"
"968","PKC1","cell periphery"
"969","VRP1","cell periphery"
"970","HSL1","cell periphery"
"971","ACT1","cell periphery"
"972","VTC1","cell periphery"
"973","HXT13","cell periphery"
"974","SMF1","cell periphery"
"975","FRE6","cell periphery"
"976","SYG1","cell periphery"
"977","HBT1","cell periphery"
"978","CDC25","cell periphery"
"979","CYK3","cell periphery"
"980","PMA1","cell periphery"
"981","BNI1","cell periphery"
"982","SSK2","cell periphery"
"983","STE5","cell periphery"
"984","PHM7","cell periphery"
"985","PTK2","cell periphery"
"986","SPO20","cell periphery"
"987","GPB1","cell periphery"
"988","FKS3","cell periphery"
"989","DSE4","cell periphery"
"990","GPB2","cell periphery"
"991","KIN82","cell periphery"
"992","CHC1","cell periphery"
"993","TCO89","cell periphery"
"994","KIN1","cell periphery"
"995","SNF7","cell periphery"
"996","GRR1","cell periphery"
"997","MYO2","actin filament"
