FUNCTION	Ref_num	List_num	expected	over under	foldEnrichment	pval	FDR
ethanolamine kinase activity (GO:0004305)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
epoxide hydrolase activity (GO:0004301)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
enoyl-CoA hydratase activity (GO:0004300)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
omega-amidase activity (GO:0050152)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerol dehydrogenase [NAD(P)+] activity (GO:1990042)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lipid phosphatase activity (GO:0042577)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
ER retention sequence binding (GO:0046923)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-glucosidase activity (GO:0090599)	11	0	.38	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate kinase activity (GO:0050145)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III general transcription initiation factor binding (GO:0001025)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
iron chaperone activity (GO:0034986)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonuclease T2 activity (GO:0033897)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NADH:ubiquinone reductase (non-electrogenic) activity (GO:0050136)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
tDNA binding (GO:0071443)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial promoter sequence-specific DNA binding (GO:0001018)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulatory region sequence-specific DNA binding (GO:0001016)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
phosphoprotein binding (GO:0051219)	12	0	.42	-	 < 0.01	1.00E00	1.00E00
NAD-dependent protein lysine deacetylase activity (GO:0034979)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
deSUMOylase activity (GO:0016929)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
dioxygenase activity (GO:0051213)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
phosphatidyl-N-dimethylethanolamine N-methyltransferase activity (GO:0080101)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphatase activity (GO:0033883)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
diphthine methylesterase activity (GO:0061685)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATP:ATP adenylyltransferase activity (GO:0141192)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 3 promoter sequence-specific DNA binding (GO:0001006)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 2 promoter sequence-specific DNA binding (GO:0001003)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 1 promoter sequence-specific DNA binding (GO:0001002)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
8-oxo-dGDP phosphatase activity (GO:0044715)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II C-terminal domain binding (GO:0099122)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
2-(3-amino-3-carboxypropyl)histidine synthase activity (GO:0090560)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
5'-flap-structured DNA binding (GO:0070338)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-flap-structured DNA binding (GO:0070337)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
flap-structured DNA binding (GO:0070336)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
sterol 3-beta-glucosyltransferase activity (GO:0016906)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor (GO:0016901)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoskeletal anchor activity (GO:0008093)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UMP kinase activity (GO:0033862)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO ligase activity (GO:0061665)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
D-arabinono-1,4-lactone oxidase activity (GO:0003885)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CTP synthase activity (GO:0003883)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:0003882)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity (GO:0003881)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein C-terminal carboxyl O-methyltransferase activity (GO:0003880)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
G-protein beta/gamma-subunit complex binding (GO:0031683)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
G-protein gamma-subunit binding (GO:0031682)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO-ubiquitin ligase activity (GO:0140082)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
diphosphoinositol-pentakisphosphate kinase activity (GO:0033857)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO conjugating enzyme activity (GO:0061656)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lipid transmembrane transporter activity (GO:0170055)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
ATP phosphoribosyltransferase activity (GO:0003879)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetyltransferase activity (GO:0008080)	42	0	1.46	-	 < 0.01	4.03E-01	1.00E00
NEDD8 conjugating enzyme activity (GO:0061654)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonuclease activator activity (GO:0170054)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclease activator activity (GO:0170053)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ATP:ADP adenylyltransferase activity (GO:0003877)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
AMP deaminase activity (GO:0003876)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
class I DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0140078)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase activity (GO:0003872)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity (GO:0003871)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5-aminolevulinate synthase activity (GO:0003870)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
translation termination factor activity (GO:0008079)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
hydroxymethylfurfural reductase (NADPH) activity (GO:0033845)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ornithine decarboxylase inhibitor activity (GO:0008073)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
4-aminobutyrate transaminase activity (GO:0003867)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-phosphoshikimate 1-carboxyvinyltransferase activity (GO:0003866)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-oxo-5-alpha-steroid 4-dehydrogenase activity (GO:0003865)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone crotonyltransferase activity (GO:0140068)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase (NAD+) activity (GO:0141152)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
3-methyl-2-oxobutanoate hydroxymethyltransferase activity (GO:0003864)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-isopropylmalate dehydrogenase activity (GO:0003862)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-isopropylmalate dehydratase activity (GO:0003861)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide crotonyltransferase activity (GO:0140064)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartic endopeptidase activity, intramembrane cleaving (GO:0042500)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidyltransferase activity (GO:0030572)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxymethylfurfural reductase (NADH) activity (GO:0033833)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
enoyl-[acyl-carrier-protein] reductase (NADPH) activity (GO:0141148)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
chitin binding (GO:0008061)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
carboxyl-O-methyltransferase activity (GO:0010340)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA lariat debranching enzyme activator activity (GO:0061632)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-dehydroquinate synthase activity (GO:0003856)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-dehydroquinate dehydratase activity (GO:0003855)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-isopropylmalate synthase activity (GO:0003852)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
2-deoxyglucose-6-phosphatase activity (GO:0003850)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
Hsp90 protein binding (GO:0051879)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
SHG alpha-glucan phosphorylase activity (GO:0102499)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
S-methylmethionine-homocysteine S-methyltransferase activity (GO:0061627)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
mating-type alpha-factor pheromone receptor activity (GO:0004934)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mating-type a-factor pheromone receptor activity (GO:0004933)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity (GO:0003848)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mating-type factor pheromone receptor activity (GO:0004932)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
2-acylglycerol O-acyltransferase activity (GO:0003846)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor activity (GO:0004930)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
diphthine methyl ester synthase activity (GO:0141133)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
1,4-alpha-glucan branching enzyme activity (GO:0003844)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
1-pyrroline-5-carboxylate dehydrogenase activity (GO:0003842)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
cAMP binding (GO:0030552)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor binding (GO:0001664)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide binding (GO:0030551)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cargo receptor activity (GO:0038024)	12	0	.42	-	 < 0.01	1.00E00	1.00E00
signaling receptor activity (GO:0038023)	15	0	.52	-	 < 0.01	1.00E00	1.00E00
lipoyl(octanoyl) transferase activity (GO:0033819)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3K36 demethylase activity (GO:0051864)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
gamma-glutamylcyclotransferase activity (GO:0003839)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acyl-CoA hydrolase activity (GO:0141126)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sterol 24-C-methyltransferase activity (GO:0003838)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5-fluorocytosine deaminase activity (GO:0102480)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
stalled ribosome sensor activity (GO:0170011)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
replication fork barrier binding (GO:0031634)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dihydroorotate dehydrogenase (fumarate) activity (GO:1990663)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
signaling receptor activator activity (GO:0030546)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
signaling receptor regulator activity (GO:0030545)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
Hsp70 protein binding (GO:0030544)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
peptide receptor activity (GO:0001653)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
deaminated glutathione amidase activity (GO:0110050)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
snRNP binding (GO:0070990)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
beta-tubulin binding (GO:0048487)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
nuclear import signal receptor activity (GO:0061608)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
glycerophosphoinositol glycerophosphodiesterase activity (GO:0047395)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme binding (GO:0031624)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
triplet codon-amino acid adaptor activity (GO:0030533)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acireductone dioxygenase [iron(II)-requiring] activity (GO:0010309)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acireductone dioxygenase (Ni2+-requiring) activity (GO:0010308)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transporter regulator activity (GO:0141108)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glycerophosphocholine phosphodiesterase activity (GO:0047389)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose-2,6-bisphosphate 6-phosphatase activity (GO:0047386)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA(Ser) (uridine(44)-2'-O-)-methyltransferase activity (GO:0141101)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(18)-2'-O)-methyltransferase activity (GO:0141100)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity (GO:0052929)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CTP:tRNA cytidylyltransferase activity (GO:0052927)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052926)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity (GO:0052925)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzaldehyde dehydrogenase (NAD+) activity (GO:0018484)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052918)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase (GO:0052917)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity (GO:0052909)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acyl-[ACP] hydrolase activity (GO:0016297)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(37)-N1)-methyltransferase activity (GO:0052906)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (guanosine(9)-N1)-methyltransferase activity (GO:0052905)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamate synthase activity, NAD(P)H as acceptor (GO:0045181)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052904)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity (GO:0052903)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity (GO:0052902)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
spermine:oxygen oxidoreductase (spermidine-forming) activity (GO:0052901)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex binding (GO:0010997)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
acetolactate synthase regulator activity (GO:1990610)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acyl-CoA hydrolase activity (GO:0016289)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
glycerone-phosphate O-acyltransferase activity (GO:0016287)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glutathione dehydrogenase (ascorbate) activity (GO:0045174)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
L-tryptophan transmembrane transporter activity (GO:0015196)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
L-threonine transmembrane transporter activity (GO:0015195)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
L-serine transmembrane transporter activity (GO:0015194)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
H3-H4 histone complex chaperone activity (GO:0000510)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
L-methionine transmembrane transporter activity (GO:0015191)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity (GO:0102420)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase [NAD(P)+] activity (GO:0018455)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
molecular condensate scaffold activity (GO:0140693)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-arginine N-methyltransferase activity (GO:0016274)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
L-lysine transmembrane transporter activity (GO:0015189)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
arginine N-methyltransferase activity (GO:0016273)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
L-isoleucine transmembrane transporter activity (GO:0015188)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
glycine transmembrane transporter activity (GO:0015187)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
L-glutamine transmembrane transporter activity (GO:0015186)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
L-cystine transmembrane transporter activity (GO:0015184)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transporter activity (GO:0015183)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
4-amino-4-deoxychorismate lyase activity (GO:0008696)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-phosphoadenylylselenate reductase activity (GO:0098624)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin II binding (GO:0045159)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
histone H3K36me/H3K36me2 demethylase activity (GO:0140680)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid transmembrane transporter activity (GO:0015173)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transmembrane transporter activity (GO:0015172)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
3,4-dihydroxy-2-butanone-4-phosphate synthase activity (GO:0008686)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-demethoxyubiquinol 3-hydroxylase activity (GO:0008682)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-octaprenyl-6-methoxyphenol hydroxylase activity (GO:0008681)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ABC-type sodium transporter activity (GO:0140679)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
ATP-dependent histone chaperone activity (GO:0140674)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol phosphoceramide synthase regulator activity (GO:0070917)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA 5'-3' DNA exonuclease activity (GO:0045145)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
triplex DNA binding (GO:0045142)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate transmembrane transporter activity (GO:0015169)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol phosphoceramide synthase activity (GO:0045140)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glycerol transmembrane transporter activity (GO:0015168)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
polyol transmembrane transporter activity (GO:0015166)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
2-dehydropantoate 2-reductase activity (GO:0008677)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
2,4-dienoyl-CoA reductase (NADPH) activity (GO:0008670)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein C-terminal leucine carboxyl O-methyltransferase activity (GO:0018423)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
annealing activity (GO:0140666)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
ATP-dependent DNA damage sensor activity (GO:0140664)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
ATP-dependent FeS chaperone activity (GO:0140663)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
channel regulator activity (GO:0016247)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
UDP phosphatase activity (GO:0045134)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
pre-mRNA branch point binding (GO:0045131)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
oligosaccharide transmembrane transporter activity (GO:0015157)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
disaccharide transmembrane transporter activity (GO:0015154)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
alpha-glucoside transmembrane transporter activity (GO:0015151)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
coenzyme A diphosphatase activity (GO:0010945)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
cytoskeletal motor regulator activity (GO:0140659)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NAD-independent histone deacetylase activity (GO:0045129)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
deaminated base DNA N-glycosylase activity (GO:0097506)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine kinase activity (GO:0045127)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pentose transmembrane transporter activity (GO:0015146)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
calmodulin-dependent protein phosphatase activity (GO:0033192)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transmembrane transporter activity (GO:0015142)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transporter activity (GO:0015141)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transporter activity (GO:0015140)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-methionine-(S)-S-oxide reductase activity (GO:0036456)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine-2'-O-)-methyltransferase activity (GO:0008650)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
steroid dehydrogenase activity (GO:0016229)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
P-type calcium transporter activity (GO:0005388)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transporter activity (GO:0005385)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
threonine-type endopeptidase activity (GO:0004298)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
fumarate transmembrane transporter activity (GO:0015138)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H2BS14 kinase activity (GO:0044025)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
citrate transmembrane transporter activity (GO:0015137)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sialic acid transmembrane transporter activity (GO:0015136)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA methyltransferase activity (GO:0008649)	15	0	.52	-	 < 0.01	1.00E00	1.00E00
oxaloacetate transmembrane transporter activity (GO:0015131)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
SAM domain binding (GO:0032093)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like modifier activating enzyme activity (GO:0008641)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
citrate synthase activity (GO:0036440)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
acyl-CoA desaturase activity (GO:0016215)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
water transmembrane transporter activity (GO:0005372)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
kynurenine-oxoglutarate transaminase activity (GO:0016212)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
tricarboxylate secondary active transmembrane transporter activity (GO:0005371)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
bilirubin transmembrane transporter activity (GO:0015127)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ammonia ligase activity (GO:0016211)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NuA4 histone acetyltransferase complex binding (GO:0062060)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
allantoate transmembrane transporter activity (GO:0015124)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
acetate transmembrane transporter activity (GO:0015123)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
antioxidant activity (GO:0016209)	30	0	1.04	-	 < 0.01	6.25E-01	1.00E00
nicotinamide riboside transmembrane transporter activity (GO:0034257)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
AMP binding (GO:0016208)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH holo complex binding (GO:0062058)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myo-inositol:proton symporter activity (GO:0005366)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
myo-inositol transmembrane transporter activity (GO:0005365)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
maltose:proton symporter activity (GO:0005364)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
maltose transmembrane transporter activity (GO:0005363)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
thiosulfate transmembrane transporter activity (GO:0015117)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfate transmembrane transporter activity (GO:0015116)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
glycolipid 1,6-alpha-mannosyltransferase activity (GO:0033164)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
nitrate transmembrane transporter activity (GO:0015112)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-phosphoserine phosphatase activity (GO:0036424)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
polyprenyltransferase activity (GO:0002094)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ferric-chelate reductase (NADH) activity (GO:0140618)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate adenylate kinase activity (GO:0046899)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
P-type manganese transporter activity (GO:0140613)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial transcription factor activity (GO:0034246)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA damage sensor activity (GO:0140612)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
galactose transmembrane transporter activity (GO:0005354)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
alpha-glucoside:proton symporter activity (GO:0005352)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase transmembrane transporter activity (GO:0005350)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arsenite transmembrane transporter activity (GO:0015105)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
antimonite transmembrane transporter activity (GO:0015104)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
4-hydroxybenzoate decaprenyltransferase activity (GO:0002083)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
