"","GENE","FUNCTION_DESC"
"682","SMC2","ATP binding"
"683","SMC2","ATP hydrolysis activity"
"684","FYV10","ubiquitin-protein transferase activity"
"685","FYV10","transferase activity"
"686","FYV10","metal ion binding"
"687","FYV10","ubiquitin protein ligase activity"
"688","DBF20","protein serine/threonine kinase activity"
"689","DBF20","ATP binding"
"690","DBF20","protein serine kinase activity"
"691","HSP104","ATP binding"
"692","HSP104","ATP hydrolysis activity"
"693","HSP104","ADP binding"
"694","HSP104","unfolded protein binding"
"695","HSP104","protein-folding chaperone binding"
"696","PET127","molecular_function"
"697","KAR3","cytoskeletal motor activity"
"698","KAR3","microtubule motor activity"
"699","KAR3","ATP binding"
"700","KAR3","microtubule binding"
"701","KAR3","minus-end-directed microtubule motor activity"
"702","KAR3","isomerase activity"
"703","PBP2","RNA binding"
"704","PBP2","mRNA binding"
"705","YHC1","nucleic acid binding"
"706","YHC1","RNA binding"
"707","YHC1","mRNA binding"
"708","YHC1","zinc ion binding"
"709","YHC1","U1 snRNA binding"
"710","YHC1","pre-mRNA 5'-splice site binding"
"711","YHC1","metal ion binding"
"712","RSC1","chromatin binding"
"713","RSC1","ATP-dependent activity, acting on DNA"
"714","PFK26","6-phosphofructo-2-kinase activity"
"715","PFK26","ATP binding"
"716","PFK26","kinase activity"
"717","RPS2","protein binding"
"718","RPS2","small ribosomal subunit rRNA binding"
"719","DNF1","magnesium ion binding"
"720","DNF1","ATP binding"
"721","DNF1","ATP hydrolysis activity"
"722","DNF1","metal ion binding"
"723","DNF1","phosphatidylcholine floppase activity"
"724","DNF1","phosphatidylethanolamine flippase activity"
"725","DNF1","phosphatidylserine floppase activity"
"726","DNF1","ATPase-coupled intramembrane lipid transporter activity"
"727","DNF1","phosphatidylcholine flippase activity"
"728","DNF1","phosphatidylserine flippase activity"
"729","DNF1","glycosylceramide flippase activity"
"730","RAD16","DNA binding"
"731","RAD16","helicase activity"
"732","RAD16","ubiquitin-protein transferase activity"
"733","RAD16","ATP binding"
"734","RAD16","ATP-dependent activity, acting on DNA"
"735","RAD16","zinc ion binding"
"736","RAD16","hydrolase activity"
"737","RAD16","metal ion binding"
"738","RAD16","ATP-dependent chromatin remodeler activity"
"739","SNF7","protein binding"
"740","GRR1","ubiquitin-protein transferase activity"
"741","GRR1","protein-macromolecule adaptor activity"
"742","MDL2","ATP binding"
"743","MDL2","ABC-type oligopeptide transporter activity"
"744","MDL2","ATP hydrolysis activity"
"745","MDL2","ABC-type transporter activity"
"746","MDL2","peptide transmembrane transporter activity"
"747","RMP1","rRNA primary transcript binding"
"748","UBX7","molecular_function"
"749","NSR1","DNA binding"
"750","NSR1","RNA binding"
"751","NSR1","mRNA binding"
"752","NSR1","nuclear localization sequence binding"
"753","NSR1","single-stranded telomeric DNA binding"
"754","NSR1","G-quadruplex DNA binding"
"755","MCK1","phosphotransferase activity, alcohol group as acceptor"
"756","YEF1","phosphotransferase activity, alcohol group as acceptor"
"757","RIM11","phosphotransferase activity, alcohol group as acceptor"
"758","PKC1","phosphotransferase activity, alcohol group as acceptor"
"759","HSL1","phosphotransferase activity, alcohol group as acceptor"
"760","RBK1","phosphotransferase activity, alcohol group as acceptor"
"761","PBS2","phosphotransferase activity, alcohol group as acceptor"
"762","SAK1","phosphotransferase activity, alcohol group as acceptor"
"763","TRL1","phosphotransferase activity, alcohol group as acceptor"
"764","SSK2","phosphotransferase activity, alcohol group as acceptor"
"765","PYK2","phosphotransferase activity, alcohol group as acceptor"
"766","PTK2","phosphotransferase activity, alcohol group as acceptor"
"767","KSP1","phosphotransferase activity, alcohol group as acceptor"
"768","RCK2","phosphotransferase activity, alcohol group as acceptor"
"769","VTC4","phosphotransferase activity, alcohol group as acceptor"
"770","KIN82","phosphotransferase activity, alcohol group as acceptor"
"771","PKP1","phosphotransferase activity, alcohol group as acceptor"
"772","KIN1","phosphotransferase activity, alcohol group as acceptor"
"773","MPA43","phosphotransferase activity, alcohol group as acceptor"
"774","DBF20","phosphotransferase activity, alcohol group as acceptor"
"775","PFK26","phosphotransferase activity, alcohol group as acceptor"
"776","MCK1","nucleotide binding"
"777","MDN1","nucleotide binding"
"778","YEF1","nucleotide binding"
"779","UBC1","nucleotide binding"
"780","RIM11","nucleotide binding"
"781","PKC1","nucleotide binding"
"782","HSL1","nucleotide binding"
"783","RBK1","nucleotide binding"
"784","ACT1","nucleotide binding"
"785","DUS4","nucleotide binding"
"786","ADE6","nucleotide binding"
"787","PDR10","nucleotide binding"
"788","YOR1","nucleotide binding"
"789","ERG1","nucleotide binding"
"790","MYO2","nucleotide binding"
"791","PBS2","nucleotide binding"
"792","RPT5","nucleotide binding"
"793","SUB2","nucleotide binding"
"794","NFT1","nucleotide binding"
"795","SAK1","nucleotide binding"
"796","PMA1","nucleotide binding"
"797","TRL1","nucleotide binding"
"798","PRP2","nucleotide binding"
"799","SSK2","nucleotide binding"
"800","PYK2","nucleotide binding"
"801","ASN1","nucleotide binding"
"802","PTK2","nucleotide binding"
"803","IDH1","nucleotide binding"
"804","IDP1","nucleotide binding"
"805","KSP1","nucleotide binding"
"806","ULS1","nucleotide binding"
"807","RCK2","nucleotide binding"
"808","SPO11","nucleotide binding"
"809","MET10","nucleotide binding"
"810","HIS4","nucleotide binding"
"811","KIN82","nucleotide binding"
"812","PKP1","nucleotide binding"
"813","ACC1","nucleotide binding"
"814","NUG1","nucleotide binding"
"815","SSQ1","nucleotide binding"
"816","ILV2","nucleotide binding"
"817","KIN1","nucleotide binding"
"818","RHO1","nucleotide binding"
"819","SMC2","nucleotide binding"
"820","DBF20","nucleotide binding"
"821","HSP104","nucleotide binding"
"822","KAR3","nucleotide binding"
"823","PFK26","nucleotide binding"
"824","RAD16","nucleotide binding"
"825","DNF1","nucleotide binding"
"826","MDL2","nucleotide binding"
"827","MCK1","nucleoside phosphate binding"
"828","MDN1","nucleoside phosphate binding"
"829","YEF1","nucleoside phosphate binding"
"830","UBC1","nucleoside phosphate binding"
"831","RIM11","nucleoside phosphate binding"
"832","PKC1","nucleoside phosphate binding"
"833","HSL1","nucleoside phosphate binding"
"834","RBK1","nucleoside phosphate binding"
"835","ACT1","nucleoside phosphate binding"
"836","RRP6","nucleoside phosphate binding"
"837","DUS4","nucleoside phosphate binding"
"838","ADE6","nucleoside phosphate binding"
"839","PDR10","nucleoside phosphate binding"
"840","YOR1","nucleoside phosphate binding"
"841","ERG1","nucleoside phosphate binding"
"842","POL3","nucleoside phosphate binding"
"843","MYO2","nucleoside phosphate binding"
"844","PBS2","nucleoside phosphate binding"
"845","RPT5","nucleoside phosphate binding"
"846","SUB2","nucleoside phosphate binding"
"847","NFT1","nucleoside phosphate binding"
"848","PHR1","nucleoside phosphate binding"
"849","SAK1","nucleoside phosphate binding"
"850","PMA1","nucleoside phosphate binding"
"851","TRL1","nucleoside phosphate binding"
"852","PRP2","nucleoside phosphate binding"
"853","SSK2","nucleoside phosphate binding"
"854","PYK2","nucleoside phosphate binding"
"855","ASN1","nucleoside phosphate binding"
"856","PTK2","nucleoside phosphate binding"
"857","IDH1","nucleoside phosphate binding"
"858","IDP1","nucleoside phosphate binding"
"859","KSP1","nucleoside phosphate binding"
"860","ULS1","nucleoside phosphate binding"
"861","RCK2","nucleoside phosphate binding"
"862","SPO11","nucleoside phosphate binding"
"863","MET10","nucleoside phosphate binding"
"864","HIS4","nucleoside phosphate binding"
"865","KIN82","nucleoside phosphate binding"
"866","PKP1","nucleoside phosphate binding"
"867","ACC1","nucleoside phosphate binding"
"868","NUG1","nucleoside phosphate binding"
"869","SSQ1","nucleoside phosphate binding"
"870","ILV2","nucleoside phosphate binding"
"871","KIN1","nucleoside phosphate binding"
"872","RHO1","nucleoside phosphate binding"
"873","SMC2","nucleoside phosphate binding"
"874","DBF20","nucleoside phosphate binding"
"875","HSP104","nucleoside phosphate binding"
"876","KAR3","nucleoside phosphate binding"
"877","PFK26","nucleoside phosphate binding"
"878","RAD16","nucleoside phosphate binding"
"879","DNF1","nucleoside phosphate binding"
"880","MDL2","nucleoside phosphate binding"
"881","MCK1","kinase activity"
"882","RIM11","kinase activity"
"883","PKC1","kinase activity"
"884","HSL1","kinase activity"
"885","PBS2","kinase activity"
"886","SAK1","kinase activity"
"887","SSK2","kinase activity"
"888","PTK2","kinase activity"
"889","KSP1","kinase activity"
"890","RCK2","kinase activity"
"891","VTC4","kinase activity"
"892","KIN82","kinase activity"
"893","KIN1","kinase activity"
"894","DBF20","kinase activity"
"895","MCK1","ion binding"
"896","MDN1","ion binding"
"897","YEF1","ion binding"
"898","PHO84","ion binding"
"899","UBC1","ion binding"
"900","RIM11","ion binding"
"901","UME6","ion binding"
"902","SFP1","ion binding"
"903","SFH5","ion binding"
"904","ADR1","ion binding"
"905","PKC1","ion binding"
"906","COQ1","ion binding"
"907","HSL1","ion binding"
"908","NAB2","ion binding"
"909","AFT1","ion binding"
"910","MAS2","ion binding"
"911","RBK1","ion binding"
"912","ACT1","ion binding"
"913","MMS4","ion binding"
"914","HO","ion binding"
"915","RRP6","ion binding"
"916","DUS4","ion binding"
"917","ADE6","ion binding"
"918","PDR10","ion binding"
"919","SNT2","ion binding"
"920","DOA4","ion binding"
"921","YOR1","ion binding"
"922","ERG1","ion binding"
"923","POL3","ion binding"
"924","MYO2","ion binding"
"925","PHO23","ion binding"
"926","BIR1","ion binding"
"927","PBS2","ion binding"
"928","SMF1","ion binding"
"929","RPT5","ion binding"
"930","SUB2","ion binding"
"931","VCX1","ion binding"
"932","FRE6","ion binding"
"933","NFT1","ion binding"
"934","RCO1","ion binding"
"935","SYG1","ion binding"
"936","LRG1","ion binding"
"937","PHR1","ion binding"
"938","SAK1","ion binding"
"939","PMA1","ion binding"
"940","TRL1","ion binding"
"941","STP3","ion binding"
"942","PRP2","ion binding"
"943","SSK2","ion binding"
"944","ECM14","ion binding"
"945","STE5","ion binding"
"946","PDR1","ion binding"
"947","PYK2","ion binding"
"948","ASN1","ion binding"
"949","UBP5","ion binding"
"950","PTK2","ion binding"
"951","PRI2","ion binding"
"952","CYT2","ion binding"
"953","IDH1","ion binding"
"954","IDP1","ion binding"
"955","KSP1","ion binding"
"956","ULS1","ion binding"
"957","RCK2","ion binding"
"958","UBR2","ion binding"
"959","FET4","ion binding"
"960","FZF1","ion binding"
"961","SPO20","ion binding"
"962","ISU1","ion binding"
"963","SPO11","ion binding"
"964","VTC4","ion binding"
"965","MET10","ion binding"
"966","HIS4","ion binding"
"967","KIN82","ion binding"
"968","PKP1","ion binding"
"969","ACC1","ion binding"
"970","NUG1","ion binding"
"971","SSQ1","ion binding"
"972","ILV2","ion binding"
"973","PPQ1","ion binding"
"974","KIN1","ion binding"
"975","RHO1","ion binding"
"976","SET2","ion binding"
"977","SMC2","ion binding"
"978","FYV10","ion binding"
"979","DBF20","ion binding"
"980","HSP104","ion binding"
"981","KAR3","ion binding"
"982","YHC1","ion binding"
"983","PFK26","ion binding"
"984","RAD16","ion binding"
"985","DNF1","ion binding"
"986","MDL2","ion binding"
"987","MCK1","heterocyclic compound binding"
"988","MDN1","heterocyclic compound binding"
"989","YEF1","heterocyclic compound binding"
"990","UBC1","heterocyclic compound binding"
"991","RIM11","heterocyclic compound binding"
"992","PKC1","heterocyclic compound binding"
"993","HSL1","heterocyclic compound binding"
"994","RBK1","heterocyclic compound binding"
"995","ACT1","heterocyclic compound binding"
"996","ADE6","heterocyclic compound binding"
"997","PDR10","heterocyclic compound binding"
"998","YOR1","heterocyclic compound binding"
"999","MYO2","heterocyclic compound binding"
"1000","PBS2","heterocyclic compound binding"
"1001","RPT5","heterocyclic compound binding"
"1002","SUB2","heterocyclic compound binding"
"1003","NFT1","heterocyclic compound binding"
"1004","SAK1","heterocyclic compound binding"
"1005","PMA1","heterocyclic compound binding"
"1006","TRL1","heterocyclic compound binding"
"1007","PRP2","heterocyclic compound binding"
"1008","SSK2","heterocyclic compound binding"
"1009","PYK2","heterocyclic compound binding"
"1010","ASN1","heterocyclic compound binding"
"1011","PTK2","heterocyclic compound binding"
"1012","KSP1","heterocyclic compound binding"
"1013","ULS1","heterocyclic compound binding"
"1014","RCK2","heterocyclic compound binding"
"1015","SPO11","heterocyclic compound binding"
"1016","HIS4","heterocyclic compound binding"
"1017","KIN82","heterocyclic compound binding"
"1018","PKP1","heterocyclic compound binding"
"1019","ACC1","heterocyclic compound binding"
"1020","SSQ1","heterocyclic compound binding"
"1021","KIN1","heterocyclic compound binding"
"1022","SMC2","heterocyclic compound binding"
"1023","DBF20","heterocyclic compound binding"
"1024","HSP104","heterocyclic compound binding"
"1025","KAR3","heterocyclic compound binding"
"1026","PFK26","heterocyclic compound binding"
"1027","RAD16","heterocyclic compound binding"
"1028","DNF1","heterocyclic compound binding"
"1029","MDL2","heterocyclic compound binding"
"1030","RRP6","ATP binding"
"1031","DUS4","ATP binding"
"1032","ERG1","ATP binding"
"1033","POL3","ATP binding"
"1034","PHR1","ATP binding"
"1035","IDH1","ATP binding"
"1036","IDP1","ATP binding"
"1037","MET10","ATP binding"
"1038","NUG1","ATP binding"
"1039","ILV2","ATP binding"
"1040","RHO1","ATP binding"
"1041","MCK1","catalytic activity"
"1042","MDN1","catalytic activity"
"1043","YEF1","catalytic activity"
"1044","UTH1","catalytic activity"
"1045","UBC1","catalytic activity"
"1046","ALD5","catalytic activity"
"1047","RIM11","catalytic activity"
"1048","PKC1","catalytic activity"
"1049","COQ1","catalytic activity"
"1050","BNA6","catalytic activity"
"1051","SIW14","catalytic activity"
"1052","HSL1","catalytic activity"
"1053","MAS2","catalytic activity"
"1054","RBK1","catalytic activity"
"1055","ACT1","catalytic activity"
"1056","MMS4","catalytic activity"
"1057","HO","catalytic activity"
"1058","APC2","catalytic activity"
"1059","RRP6","catalytic activity"
"1060","DUS4","catalytic activity"
"1061","MCT1","catalytic activity"
"1062","ADE6","catalytic activity"
"1063","OCA4","catalytic activity"
"1064","PDR10","catalytic activity"
"1065","SNT2","catalytic activity"
"1066","DOA4","catalytic activity"
"1067","YOR1","catalytic activity"
"1068","ERG1","catalytic activity"
"1069","POL3","catalytic activity"
"1070","HUL5","catalytic activity"
"1071","PBS2","catalytic activity"
"1072","RPT5","catalytic activity"
"1073","SUB2","catalytic activity"
"1074","FRE6","catalytic activity"
"1075","NFT1","catalytic activity"
"1076","SWT1","catalytic activity"
"1077","FIG4","catalytic activity"
"1078","PHO81","catalytic activity"
"1079","HIS4","catalytic activity"
"1080","PHR1","catalytic activity"
"1081","SAK1","catalytic activity"
"1082","PMA1","catalytic activity"
"1083","RKM3","catalytic activity"
"1084","TRL1","catalytic activity"
"1085","PRP2","catalytic activity"
"1086","SSK2","catalytic activity"
"1087","HMF1","catalytic activity"
"1088","PYK2","catalytic activity"
"1089","ASN1","catalytic activity"
"1090","UBP5","catalytic activity"
"1091","PTK2","catalytic activity"
"1092","PRI2","catalytic activity"
"1093","BUL1","catalytic activity"
"1094","CYT2","catalytic activity"
"1095","IDH1","catalytic activity"
"1096","KSP1","catalytic activity"
"1097","IDP1","catalytic activity"
"1098","ULS1","catalytic activity"
"1099","MLS1","catalytic activity"
"1100","RCK2","catalytic activity"
"1101","PRP8","catalytic activity"
"1102","UBR2","catalytic activity"
"1103","ERG9","catalytic activity"
"1104","BUL2","catalytic activity"
"1105","IOC4","catalytic activity"
"1106","ABP140","catalytic activity"
"1107","PDX1","catalytic activity"
"1108","SPO11","catalytic activity"
"1109","KRE5","catalytic activity"
"1110","FKS3","catalytic activity"
"1111","VTC4","catalytic activity"
"1112","MET10","catalytic activity"
"1113","RCE1","catalytic activity"
"1114","PLB2","catalytic activity"
"1115","ERG27","catalytic activity"
"1116","DSE4","catalytic activity"
"1117","DDR48","catalytic activity"
"1118","ROG1","catalytic activity"
"1119","ARO3","catalytic activity"
"1120","KIN82","catalytic activity"
"1121","YLR372W","catalytic activity"
"1122","PKP1","catalytic activity"
"1123","ACC1","catalytic activity"
"1124","NUG1","catalytic activity"
"1125","SSQ1","catalytic activity"
"1126","ILV2","catalytic activity"
"1127","TOM1","catalytic activity"
"1128","PPQ1","catalytic activity"
"1129","KIN1","catalytic activity"
"1130","KTR3","catalytic activity"
"1131","TGL5","catalytic activity"
"1132","MPA43","catalytic activity"
"1133","SET2","catalytic activity"
"1134","RHO1","catalytic activity"
"1135","SMC2","catalytic activity"
"1136","FYV10","catalytic activity"
"1137","DBF20","catalytic activity"
"1138","HSP104","catalytic activity"
"1139","KAR3","catalytic activity"
"1140","RSC1","catalytic activity"
"1141","PFK26","catalytic activity"
"1142","DNF1","catalytic activity"
"1143","RAD16","catalytic activity"
"1144","MDL2","catalytic activity"
"1145","GRR1","catalytic activity"
"1146","MCK1","binding"
"1147","BNI4","binding"
"1148","MDN1","binding"
"1149","YEF1","binding"
"1150","PHO84","binding"
"1151","HHF2","binding"
"1152","SAP4","binding"
"1153","UBC1","binding"
"1154","RSE1","binding"
"1155","TFB1","binding"
"1156","RIM11","binding"
"1157","UME6","binding"
"1158","SFP1","binding"
"1159","SFH5","binding"
"1160","ADR1","binding"
"1161","PKC1","binding"
"1162","URB1","binding"
"1163","COQ1","binding"
"1164","VRP1","binding"
"1165","SPT2","binding"
"1166","RPS2","binding"
"1167","HSL1","binding"
"1168","NAB2","binding"
"1169","AFT1","binding"
"1170","MAS2","binding"
"1171","RBK1","binding"
"1172","ACT1","binding"
"1173","MMS4","binding"
"1174","BSD2","binding"
"1175","HO","binding"
"1176","APC2","binding"
"1177","RRP6","binding"
"1178","LOS1","binding"
"1179","MSC6","binding"
"1180","DUS4","binding"
"1181","APL5","binding"
"1182","RED1","binding"
"1183","ADE6","binding"
"1184","PDR10","binding"
"1185","SNT2","binding"
"1186","DOA4","binding"
"1187","YOR1","binding"
"1188","ERG1","binding"
"1189","POL3","binding"
"1190","MYO2","binding"
"1191","TFG1","binding"
"1192","VTC1","binding"
"1193","PHO23","binding"
"1194","BIR1","binding"
"1195","PBS2","binding"
"1196","SMF1","binding"
"1197","RPT5","binding"
"1198","SUB2","binding"
"1199","FRE6","binding"
"1200","VCX1","binding"
"1201","BLM10","binding"
"1202","NFT1","binding"
"1203","YAP6","binding"
"1204","RCO1","binding"
"1205","SYG1","binding"
"1206","LRG1","binding"
"1207","ALY2","binding"
"1208","EBS1","binding"
"1209","PHR1","binding"
"1210","SAK1","binding"
"1211","PMA1","binding"
"1212","BNI1","binding"
"1213","TRL1","binding"
"1214","VPS74","binding"
"1215","STP3","binding"
"1216","PRP2","binding"
"1217","SSK2","binding"
"1218","ECM14","binding"
"1219","STE5","binding"
"1220","PDR1","binding"
"1221","NAM8","binding"
"1222","PYK2","binding"
"1223","HIR2","binding"
"1224","ASN1","binding"
"1225","GCD2","binding"
"1226","UBP5","binding"
"1227","PTK2","binding"
"1228","PRI2","binding"
"1229","CYT2","binding"
"1230","IDH1","binding"
"1231","PEP12","binding"
"1232","KSP1","binding"
"1233","IDP1","binding"
"1234","ULS1","binding"
"1235","RCK2","binding"
"1236","PRP8","binding"
"1237","UBR2","binding"
"1238","SMY2","binding"
"1239","FET4","binding"
"1240","FZF1","binding"
"1241","SPO20","binding"
"1242","ISU1","binding"
"1243","IOC4","binding"
"1244","NPL3","binding"
"1245","MET30","binding"
"1246","GPB1","binding"
"1247","RPS15","binding"
"1248","ABP140","binding"
"1249","RRP46","binding"
"1250","SPO11","binding"
"1251","KRE5","binding"
"1252","VTC4","binding"
"1253","MET10","binding"
"1254","ATG2","binding"
"1255","HIS4","binding"
"1256","GPB2","binding"
"1257","KIN82","binding"
"1258","ABP1","binding"
"1259","ERB1","binding"
"1260","CHC1","binding"
"1261","PKP1","binding"
"1262","ACC1","binding"
"1263","SHP1","binding"
"1264","NUG1","binding"
"1265","SSQ1","binding"
"1266","ILV2","binding"
"1267","PPQ1","binding"
"1268","KIN1","binding"
"1269","RRP5","binding"
"1270","IST2","binding"
"1271","CSM3","binding"
"1272","SET2","binding"
"1273","RHO1","binding"
"1274","SMC2","binding"
"1275","FYV10","binding"
"1276","DBF20","binding"
"1277","HSP104","binding"
"1278","PBP2","binding"
"1279","KAR3","binding"
"1280","YHC1","binding"
"1281","RSC1","binding"
"1282","PFK26","binding"
"1283","DNF1","binding"
"1284","SNF7","binding"
"1285","RAD16","binding"
"1286","MDL2","binding"
"1287","RMP1","binding"
"1288","NSR1","binding"
"1289","MCK1","small molecule binding"
"1290","MDN1","small molecule binding"
"1291","YEF1","small molecule binding"
"1292","PHO84","small molecule binding"
"1293","UBC1","small molecule binding"
"1294","RIM11","small molecule binding"
"1295","UME6","small molecule binding"
"1296","SFP1","small molecule binding"
"1297","SFH5","small molecule binding"
"1298","ADR1","small molecule binding"
"1299","PKC1","small molecule binding"
"1300","COQ1","small molecule binding"
"1301","HSL1","small molecule binding"
"1302","NAB2","small molecule binding"
"1303","AFT1","small molecule binding"
"1304","MAS2","small molecule binding"
"1305","RBK1","small molecule binding"
"1306","ACT1","small molecule binding"
"1307","MMS4","small molecule binding"
"1308","HO","small molecule binding"
"1309","RRP6","small molecule binding"
"1310","DUS4","small molecule binding"
"1311","ADE6","small molecule binding"
"1312","PDR10","small molecule binding"
"1313","SNT2","small molecule binding"
"1314","DOA4","small molecule binding"
"1315","YOR1","small molecule binding"
"1316","ERG1","small molecule binding"
"1317","POL3","small molecule binding"
"1318","MYO2","small molecule binding"
"1319","PHO23","small molecule binding"
"1320","BIR1","small molecule binding"
"1321","PBS2","small molecule binding"
"1322","SMF1","small molecule binding"
"1323","RPT5","small molecule binding"
"1324","SUB2","small molecule binding"
"1325","VCX1","small molecule binding"
"1326","FRE6","small molecule binding"
"1327","NFT1","small molecule binding"
"1328","RCO1","small molecule binding"
"1329","SYG1","small molecule binding"
"1330","LRG1","small molecule binding"
"1331","PHR1","small molecule binding"
"1332","SAK1","small molecule binding"
"1333","PMA1","small molecule binding"
"1334","TRL1","small molecule binding"
"1335","STP3","small molecule binding"
"1336","PRP2","small molecule binding"
"1337","SSK2","small molecule binding"
"1338","ECM14","small molecule binding"
"1339","STE5","small molecule binding"
"1340","PDR1","small molecule binding"
"1341","PYK2","small molecule binding"
"1342","ASN1","small molecule binding"
"1343","UBP5","small molecule binding"
"1344","PTK2","small molecule binding"
"1345","PRI2","small molecule binding"
"1346","CYT2","small molecule binding"
"1347","IDH1","small molecule binding"
"1348","IDP1","small molecule binding"
"1349","KSP1","small molecule binding"
"1350","ULS1","small molecule binding"
"1351","RCK2","small molecule binding"
"1352","UBR2","small molecule binding"
"1353","FET4","small molecule binding"
"1354","FZF1","small molecule binding"
"1355","SPO20","small molecule binding"
"1356","ISU1","small molecule binding"
"1357","SPO11","small molecule binding"
"1358","VTC4","small molecule binding"
"1359","MET10","small molecule binding"
"1360","HIS4","small molecule binding"
"1361","KIN82","small molecule binding"
"1362","PKP1","small molecule binding"
"1363","ACC1","small molecule binding"
"1364","NUG1","small molecule binding"
"1365","SSQ1","small molecule binding"
"1366","ILV2","small molecule binding"
"1367","PPQ1","small molecule binding"
"1368","KIN1","small molecule binding"
"1369","RHO1","small molecule binding"
"1370","SET2","small molecule binding"
"1371","SMC2","small molecule binding"
"1372","FYV10","small molecule binding"
"1373","DBF20","small molecule binding"
"1374","HSP104","small molecule binding"
"1375","KAR3","small molecule binding"
"1376","YHC1","small molecule binding"
"1377","PFK26","small molecule binding"
"1378","RAD16","small molecule binding"
"1379","DNF1","small molecule binding"
"1380","MDL2","small molecule binding"
"1381","MCK1","anion binding"
"1382","MDN1","anion binding"
"1383","YEF1","anion binding"
"1384","UBC1","anion binding"
"1385","RIM11","anion binding"
"1386","PKC1","anion binding"
"1387","HSL1","anion binding"
"1388","RBK1","anion binding"
"1389","ACT1","anion binding"
"1390","ADE6","anion binding"
"1391","PDR10","anion binding"
"1392","YOR1","anion binding"
"1393","MYO2","anion binding"
"1394","PBS2","anion binding"
"1395","RPT5","anion binding"
"1396","SUB2","anion binding"
"1397","NFT1","anion binding"
"1398","SAK1","anion binding"
"1399","PMA1","anion binding"
"1400","TRL1","anion binding"
"1401","PRP2","anion binding"
"1402","SSK2","anion binding"
"1403","PYK2","anion binding"
"1404","ASN1","anion binding"
"1405","PTK2","anion binding"
"1406","KSP1","anion binding"
"1407","ULS1","anion binding"
"1408","RCK2","anion binding"
"1409","SPO11","anion binding"
"1410","HIS4","anion binding"
"1411","KIN82","anion binding"
"1412","PKP1","anion binding"
"1413","ACC1","anion binding"
"1414","SSQ1","anion binding"
"1415","KIN1","anion binding"
"1416","SMC2","anion binding"
"1417","DBF20","anion binding"
"1418","HSP104","anion binding"
"1419","KAR3","anion binding"
"1420","PFK26","anion binding"
"1421","RAD16","anion binding"
"1422","DNF1","anion binding"
"1423","MDL2","anion binding"
"1424","MCK1","adenyl nucleotide binding"
"1425","MDN1","adenyl nucleotide binding"
"1426","YEF1","adenyl nucleotide binding"
"1427","UBC1","adenyl nucleotide binding"
"1428","RIM11","adenyl nucleotide binding"
"1429","PKC1","adenyl nucleotide binding"
"1430","HSL1","adenyl nucleotide binding"
"1431","RBK1","adenyl nucleotide binding"
"1432","ACT1","adenyl nucleotide binding"
"1433","ADE6","adenyl nucleotide binding"
"1434","PDR10","adenyl nucleotide binding"
"1435","YOR1","adenyl nucleotide binding"
"1436","MYO2","adenyl nucleotide binding"
"1437","PBS2","adenyl nucleotide binding"
"1438","RPT5","adenyl nucleotide binding"
"1439","SUB2","adenyl nucleotide binding"
"1440","NFT1","adenyl nucleotide binding"
"1441","SAK1","adenyl nucleotide binding"
"1442","PMA1","adenyl nucleotide binding"
"1443","TRL1","adenyl nucleotide binding"
"1444","PRP2","adenyl nucleotide binding"
"1445","SSK2","adenyl nucleotide binding"
"1446","PYK2","adenyl nucleotide binding"
"1447","ASN1","adenyl nucleotide binding"
"1448","PTK2","adenyl nucleotide binding"
"1449","IDH1","adenyl nucleotide binding"
"1450","IDP1","adenyl nucleotide binding"
"1451","KSP1","adenyl nucleotide binding"
"1452","ULS1","adenyl nucleotide binding"
"1453","RCK2","adenyl nucleotide binding"
"1454","SPO11","adenyl nucleotide binding"
"1455","HIS4","adenyl nucleotide binding"
"1456","KIN82","adenyl nucleotide binding"
"1457","PKP1","adenyl nucleotide binding"
"1458","ACC1","adenyl nucleotide binding"
"1459","SSQ1","adenyl nucleotide binding"
"1460","KIN1","adenyl nucleotide binding"
"1461","SMC2","adenyl nucleotide binding"
"1462","DBF20","adenyl nucleotide binding"
"1463","HSP104","adenyl nucleotide binding"
"1464","KAR3","adenyl nucleotide binding"
"1465","PFK26","adenyl nucleotide binding"
"1466","RAD16","adenyl nucleotide binding"
"1467","DNF1","adenyl nucleotide binding"
"1468","MDL2","adenyl nucleotide binding"
"1469","MCK1","adenyl ribonucleotide binding"
"1470","MDN1","adenyl ribonucleotide binding"
"1471","YEF1","adenyl ribonucleotide binding"
"1472","UBC1","adenyl ribonucleotide binding"
"1473","RIM11","adenyl ribonucleotide binding"
"1474","PKC1","adenyl ribonucleotide binding"
"1475","HSL1","adenyl ribonucleotide binding"
"1476","RBK1","adenyl ribonucleotide binding"
"1477","ACT1","adenyl ribonucleotide binding"
"1478","ADE6","adenyl ribonucleotide binding"
"1479","PDR10","adenyl ribonucleotide binding"
"1480","YOR1","adenyl ribonucleotide binding"
"1481","MYO2","adenyl ribonucleotide binding"
"1482","PBS2","adenyl ribonucleotide binding"
"1483","RPT5","adenyl ribonucleotide binding"
"1484","SUB2","adenyl ribonucleotide binding"
"1485","NFT1","adenyl ribonucleotide binding"
"1486","SAK1","adenyl ribonucleotide binding"
"1487","PMA1","adenyl ribonucleotide binding"
"1488","TRL1","adenyl ribonucleotide binding"
"1489","PRP2","adenyl ribonucleotide binding"
"1490","SSK2","adenyl ribonucleotide binding"
"1491","PYK2","adenyl ribonucleotide binding"
