COMPONENT	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
organelle membrane (GO:0031090)	1296	43	44.91	-	0.96	7.98E-01	1.00E+00
organelle outer membrane (GO:0031968)	122	4	4.23	-	0.95	1.00E+00	1.00E+00
mitochondrial intermembrane space (GO:0005758)	92	3	3.19	-	0.94	1.00E+00	1.00E+00
outer membrane (GO:0019867)	123	4	4.26	-	0.94	1.00E+00	1.00E+00
ribonucleoprotein complex (GO:1990904)	525	17	18.19	-	0.93	9.01E-01	1.00E+00
membrane protein complex (GO:0098796)	340	11	11.78	-	0.93	1.00E+00	1.00E+00
Golgi stack (GO:0005795)	31	1	1.07	-	0.93	1.00E+00	1.00E+00
endoplasmic reticulum membrane (GO:0005789)	404	13	14	-	0.93	8.88E-01	1.00E+00
organelle subcompartment (GO:0031984)	470	15	16.29	-	0.92	8.95E-01	1.00E+00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	412	13	14.28	-	0.91	8.89E-01	1.00E+00
protein kinase complex (GO:1902911)	64	2	2.22	-	0.9	1.00E+00	1.00E+00
vesicle coat (GO:0030120)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
perinuclear region of cytoplasm (GO:0048471)	32	1	1.11	-	0.9	1.00E+00	1.00E+00
spindle (GO:0005819)	64	2	2.22	-	0.9	1.00E+00	1.00E+00
small ribosomal subunit (GO:0015935)	97	3	3.36	-	0.89	1.00E+00	1.00E+00
organelle envelope lumen (GO:0031970)	97	3	3.36	-	0.89	1.00E+00	1.00E+00
fungal-type cell wall (GO:0009277)	131	4	4.54	-	0.88	1.00E+00	1.00E+00
catalytic step 2 spliceosome (GO:0071013)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
cell wall (GO:0005618)	132	4	4.57	-	0.87	1.00E+00	1.00E+00
Golgi-associated vesicle (GO:0005798)	33	1	1.14	-	0.87	1.00E+00	1.00E+00
external encapsulating structure (GO:0030312)	133	4	4.61	-	0.87	1.00E+00	1.00E+00
microtubule (GO:0005874)	67	2	2.32	-	0.86	1.00E+00	1.00E+00
microtubule cytoskeleton (GO:0015630)	143	4	4.96	-	0.81	8.19E-01	1.00E+00
mitochondrial envelope (GO:0005740)	470	13	16.29	-	0.8	5.10E-01	1.00E+00
kinetochore (GO:0000776)	74	2	2.56	-	0.78	1.00E+00	1.00E+00
prospore membrane (GO:0005628)	76	2	2.63	-	0.76	1.00E+00	1.00E+00
ascospore-type prospore (GO:0042764)	78	2	2.7	-	0.74	1.00E+00	1.00E+00
intracellular immature spore (GO:0042763)	78	2	2.7	-	0.74	1.00E+00	1.00E+00
"condensed chromosome, centromeric region (GO:0000779)"	80	2	2.77	-	0.72	1.00E+00	1.00E+00
trans-Golgi network (GO:0005802)	42	1	1.46	-	0.69	1.00E+00	1.00E+00
mitochondrial membrane (GO:0031966)	425	10	14.73	-	0.68	2.17E-01	1.00E+00
vesicle tethering complex (GO:0099023)	43	1	1.49	-	0.67	1.00E+00	1.00E+00
mitochondrial inner membrane (GO:0005743)	271	6	9.39	-	0.64	3.08E-01	1.00E+00
microbody (GO:0042579)	138	3	4.78	-	0.63	6.34E-01	1.00E+00
peroxisome (GO:0005777)	138	3	4.78	-	0.63	6.34E-01	1.00E+00
histone acetyltransferase complex (GO:0000123)	46	1	1.59	-	0.63	1.00E+00	1.00E+00
coated vesicle (GO:0030135)	93	2	3.22	-	0.62	7.73E-01	1.00E+00
phagophore assembly site (GO:0000407)	48	1	1.66	-	0.6	1.00E+00	1.00E+00
organelle inner membrane (GO:0019866)	290	6	10.05	-	0.6	2.47E-01	1.00E+00
"chromosome, centromeric region (GO:0000775)"	103	2	3.57	-	0.56	5.86E-01	1.00E+00
chromosomal region (GO:0098687)	209	4	7.24	-	0.55	3.31E-01	1.00E+00
cytosolic ribosome (GO:0022626)	162	3	5.61	-	0.53	3.80E-01	1.00E+00
acetyltransferase complex (GO:1902493)	54	1	1.87	-	0.53	1.00E+00	1.00E+00
protein acetyltransferase complex (GO:0031248)	54	1	1.87	-	0.53	1.00E+00	1.00E+00
"chromosome, telomeric region (GO:0000781)"	110	2	3.81	-	0.52	5.93E-01	1.00E+00
P-body (GO:0000932)	57	1	1.98	-	0.51	7.23E-01	1.00E+00
Golgi apparatus subcompartment (GO:0098791)	72	1	2.5	-	0.4	5.20E-01	1.00E+00
Golgi membrane (GO:0000139)	145	2	5.02	-	0.4	2.45E-01	1.00E+00
ribosomal subunit (GO:0044391)	229	3	7.94	-	0.38	9.29E-02	9.96E-01
ribosome (GO:0005840)	258	3	8.94	-	0.34	3.54E-02	6.24E-01
transporter complex (GO:1990351)	88	1	3.05	-	0.33	3.74E-01	1.00E+00
nuclear membrane (GO:0031965)	95	1	3.29	-	0.3	2.63E-01	1.00E+00
mitochondrial protein-containing complex (GO:0098798)	191	1	6.62	-	0.15	1.49E-02	4.73E-01
Atg12-Atg5-Atg16 complex (GO:0034274)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
FANCM-MHF complex (GO:0071821)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
outer plaque of mitotic spindle pole body (GO:0061499)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
"phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)"	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
"phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)"	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
Cvt complex (GO:0034270)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
CCR4-NOT core complex (GO:0030015)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
CCR4-NOT complex (GO:0030014)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
central plaque of mitotic spindle pole body (GO:0061493)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
methyltransferase complex (GO:0034708)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
chloride channel complex (GO:0034707)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
U2-type post-spliceosomal complex (GO:0071021)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
post-spliceosomal complex (GO:0071020)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
calcium channel complex (GO:0034704)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cation channel complex (GO:0034703)	19	0	0.66	-	 < 0.01	1.00E+00	1.00E+00
Isw1a complex (GO:0036436)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
CAF-1 complex (GO:0033186)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
monoatomic ion channel complex (GO:0034702)	22	0	0.76	-	 < 0.01	1.00E+00	1.00E+00
chromatin silencing complex (GO:0005677)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
telomerase catalytic core complex (GO:0000333)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
transcription factor TFIIE complex (GO:0005673)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
DUBm complex (GO:0071819)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
transcription factor TFIIA complex (GO:0005672)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting V-type ATPase, V1 domain (GO:0033180)"	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
eisosome membrane domain/MCC (GO:0090512)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
MutLgamma complex (GO:0097587)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
TRAPP complex (GO:0030008)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt4p homodimer complex (GO:0097586)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex (GO:0097585)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex (GO:0097584)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex (GO:0097583)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex (GO:0097582)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
MIH complex (GO:0120155)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
post-mRNA release spliceosomal complex (GO:0071014)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
CENP-A containing nucleosome (GO:0043505)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
precatalytic spliceosome (GO:0071011)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting V-type ATPase, V0 domain (GO:0033179)"	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
fungal-type vacuole lumen (GO:0000328)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)"	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)"	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
proton-transporting V-type ATPase complex (GO:0033176)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
Kelch-containing formin regulatory complex (GO:1990615)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase III complex (GO:0005666)	17	0	0.59	-	 < 0.01	1.00E+00	1.00E+00
"RNA polymerase II, core complex (GO:0005665)"	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
nuclear origin of replication recognition complex (GO:0005664)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
DNA replication factor C complex (GO:0005663)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
DNA replication factor A complex (GO:0005662)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
"PAM complex, Tim23 associated import motor (GO:0001405)"	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
extracellular membrane-bounded organelle (GO:0065010)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
SAM complex (GO:0001401)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
mating projection base (GO:0001400)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
U2-type post-mRNA release spliceosomal complex (GO:0071008)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
U2-type catalytic step 2 spliceosome (GO:0071007)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
organellar large ribosomal subunit (GO:0000315)	47	0	1.63	-	 < 0.01	4.11E-01	1.00E+00
organellar small ribosomal subunit (GO:0000314)	36	0	1.25	-	 < 0.01	6.36E-01	1.00E+00
Dbf4-dependent protein kinase complex (GO:0031431)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
cytosolic large ribosomal subunit (GO:0022625)	84	0	2.91	-	 < 0.01	1.21E-01	1.00E+00
organellar ribosome (GO:0000313)	89	0	3.08	-	 < 0.01	7.63E-02	9.29E-01
nuclear pre-replicative complex (GO:0005656)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
cell cortex region (GO:0099738)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
IRE1-TRAF2-ASK1 complex (GO:1990604)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
nucleolar ribonuclease P complex (GO:0005655)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
actin cytoskeleton-regulatory complex (GO:1990964)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RES complex (GO:0070274)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
nuclear inclusion body (GO:0042405)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
GPI-anchor transamidase complex (GO:0042765)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
box H/ACA snoRNP complex (GO:0031429)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
box C/D methylation guide snoRNP complex (GO:0031428)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
RecQ family helicase-topoisomerase III complex (GO:0031422)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
nuclear envelope lumen (GO:0005641)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
nuclear outer membrane (GO:0005640)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
ERMES complex (GO:0032865)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
transcription preinitiation complex (GO:0097550)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Noc4p-Nop14p complex (GO:0030692)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Noc2p-Noc3p complex (GO:0030691)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Noc1p-Noc2p complex (GO:0030690)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
transmembrane transporter complex (GO:1902495)	68	0	2.36	-	 < 0.01	1.75E-01	1.00E+00
NatC complex (GO:0031417)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
NatB complex (GO:0031416)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
NatA complex (GO:0031415)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
N-terminal protein acetyltransferase complex (GO:0031414)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum-plasma membrane contact site (GO:0140268)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
nuclear inner membrane (GO:0005637)	19	0	0.66	-	 < 0.01	1.00E+00	1.00E+00
ascus lipid droplet (GO:0005633)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
plasma membrane of growing cell tip (GO:1902929)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
Yae1-Lto1 complex (GO:0062092)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Noc complex (GO:0030689)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
"preribosome, small subunit precursor (GO:0030688)"	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
nuclear speck (GO:0016607)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mating projection membrane (GO:0070250)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
CoA-synthesizing protein complex (GO:1990143)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
nucleolar preribosome (GO:0030685)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
nuclear body (GO:0016604)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
CCAAT-binding factor complex (GO:0016602)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
multimeric ribonuclease P complex (GO:0030681)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
"proteasome core complex, beta-subunit complex (GO:0019774)"	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
"proteasome core complex, alpha-subunit complex (GO:0019773)"	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
extracellular vesicle (GO:1903561)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mitotic spindle microtubule (GO:1990498)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial ribonuclease P complex (GO:0030678)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
ribonuclease P complex (GO:0030677)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
Mon1-Ccz1 complex (GO:0035658)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
eRF1 methyltransferase complex (GO:0035657)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Gtr1-Gtr2 GTPase complex (GO:1990131)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
GATOR1 complex (GO:1990130)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
DSIF complex (GO:0032044)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"mitotic actomyosin contractile ring, proximal layer (GO:0120104)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mitotic spindle astral microtubule end (GO:1905721)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
ascospore wall (GO:0005619)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
serine-type peptidase complex (GO:1905286)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
ribonucleoside-diphosphate reductase complex (GO:0005971)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
DASH complex (GO:0042729)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
clathrin-coated endocytic vesicle membrane (GO:0030669)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Nrd1 complex (GO:0035649)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
TIM22 mitochondrial import inner membrane insertion complex (GO:0042721)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
endocytic vesicle membrane (GO:0030666)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial inner membrane peptidase complex (GO:0042720)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
COPI-coated vesicle membrane (GO:0030663)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
MutLbeta complex (GO:0032390)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Rab-protein geranylgeranyltransferase complex (GO:0005968)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
protein farnesyltransferase complex (GO:0005965)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Cvt vesicle membrane (GO:0033110)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
glycine cleavage complex (GO:0005960)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial intermembrane space protein transporter complex (GO:0042719)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
eisosome filament (GO:0036286)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RQC complex (GO:1990112)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
MutLalpha complex (GO:0032389)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
FAL1-SGD1 complex (GO:0097078)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Cvt vesicle (GO:0033107)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cis-Golgi network membrane (GO:0033106)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
nuclear RNA export factor complex (GO:0042272)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Prp19 complex (GO:0000974)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
protein kinase CK2 complex (GO:0005956)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
calcineurin complex (GO:0005955)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
SLAC complex (GO:0140224)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
CAAX-protein geranylgeranyltransferase complex (GO:0005953)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
NuA3 histone acetyltransferase complex (GO:0033100)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
cAMP-dependent protein kinase complex (GO:0005952)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
carbamoyl-phosphate synthase complex (GO:0005951)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
anthranilate synthase complex (GO:0005950)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
succinate-CoA ligase complex (GO:0042709)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
NuA3b histone acetyltransferase complex (GO:1990468)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
NuA3a histone acetyltransferase complex (GO:1990467)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Rad6-Rad18 complex (GO:0097505)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
DNA polymerase processivity factor complex (GO:0044796)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
6-phosphofructokinase complex (GO:0005945)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylinositol 3-kinase complex (GO:0005942)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
DNA ligase IV complex (GO:0032807)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Cdc48p-Npl4p-Vms1p AAA ATPase complex (GO:0036266)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
protein phosphatase type 1 complex (GO:0000164)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
luminal surveillance complex (GO:0034099)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
VCP-NPL4-UFD1 AAA ATPase complex (GO:0034098)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
meiotic spindle pole body (GO:0035974)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
protein phosphatase type 2A complex (GO:0000159)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic ubiquitin ligase complex (GO:0000153)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
host cellular component (GO:0018995)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cortical microtubule cytoskeleton (GO:0030981)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
Scc2-Scc4 cohesin loading complex (GO:0090694)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
DNA replication termination region (GO:0097047)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
proton-transporting two-sector ATPase complex (GO:0016469)	33	0	1.14	-	 < 0.01	6.29E-01	1.00E+00
retrotransposon nucleocapsid (GO:0000943)	90	0	3.12	-	 < 0.01	7.67E-02	9.11E-01
outer kinetochore (GO:0000940)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
myosin II complex (GO:0016460)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
RNA cap binding complex (GO:0034518)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
pore complex (GO:0046930)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
exocyst (GO:0000145)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
Ndc80 complex (GO:0031262)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
DNA replication preinitiation complex (GO:0031261)	22	0	0.76	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic region (GO:0099568)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
Ragulator complex (GO:0071986)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
TTT Hsp90 cochaperone complex (GO:0110078)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
periplasmic space (GO:0042597)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
perinuclear endoplasmic reticulum (GO:0097038)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
GTPase activator complex (GO:1902773)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
inner kinetochore (GO:0000939)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
GARP complex (GO:0000938)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
primary cell septum (GO:0000936)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
division septum (GO:0000935)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
F-actin capping protein complex (GO:0008290)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
gamma-tubulin complex (GO:0000930)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
"chromosome, centromeric core domain (GO:0034506)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Golgi trans cisterna (GO:0000138)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
peroxisomal importomer complex (GO:1990429)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
Golgi cis cisterna (GO:0000137)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
mannan polymerase complex (GO:0000136)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
cell projection membrane (GO:0031253)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
PAN complex (GO:0031251)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RZZ complex (GO:1990423)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
Ric1-Rgp1 guanyl-nucleotide exchange factor complex (GO:0034066)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
protein serine/threonine phosphatase complex (GO:0008287)	26	0	0.9	-	 < 0.01	1.00E+00	1.00E+00
equatorial microtubule organizing center (GO:0000923)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
exon-exon junction complex (GO:0035145)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum protein-containing complex (GO:0140534)	81	0	2.81	-	 < 0.01	1.17E-01	1.00E+00
transcription factor TFIIIC complex (GO:0000127)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
transcription factor TFIIIB complex (GO:0000126)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
succinate-CoA ligase complex (ADP-forming) (GO:0009361)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
SAGA complex (GO:0000124)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase I transcription regulator complex (GO:0000120)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
glutamyl-tRNA(Gln) amidotransferase complex (GO:0030956)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
cohesin complex (GO:0008278)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
gamma-tubulin small complex (GO:0008275)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
SUMO-targeted ubiquitin ligase complex (GO:0033768)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
MCM core complex (GO:0097373)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
host intracellular region (GO:0043656)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
CMG complex (GO:0071162)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial degradosome (GO:0045025)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
cytosolic proteasome complex (GO:0031597)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic side of endosome membrane (GO:0010009)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
nucleotide-excision repair factor 2 complex (GO:0000111)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
nucleotide-excision repair factor 1 complex (GO:0000110)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
mitotic spindle pole body (GO:0044732)	18	0	0.62	-	 < 0.01	1.00E+00	1.00E+00
new mitotic spindle pole body (GO:0071958)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
GATOR2 complex (GO:0061700)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
